;REDUTOWA  - 48-P;;;;U LESZKA;;;;Żabka Piękna;;;;Metro;;;;Piekarnia;;;;Białobrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;Żelazna;;;;Szkoła u Tomiego;;;;Elektrolarna;;;;Śródmieście;;;;Żabka Aleje;;;;Żabka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piękna;;;;Hala;;;;Namysłowska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Hoża;;;;Cepelek.Sofia;;;;Koszyki;;;;Żabka Marszałkowska;;;;Zachodni.hala;;;;Pałac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namysłowska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;Żabka Śliska;;;;
Produkt;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;IL.ZAM; Il.ZWR; ŚR.CENA;;
ŚLIMAK Z KOKOSEM;;"";"0,00";;6;"2";"1,01";;2;"";"1,16";;30;"";"0,65";;;"";"0,00";;;"";"0,00";;1;"";"1,16";;;;;;;"";"0,00";;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;2;"1";"1,16";;1;"";"1,16";;;"";"0,00";;;"";"0,00";;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;2;"";"1,16";;;;;;;;;;3;"1";"1,16";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
Pizza;;"";"0,00";;12;"";"1,85";;;"";"0,00";;30;"";"1,11";;;"";"0,00";;2;"";"1,85";;3;"";"1,85";;;;;;2;"";"1,85";;;"";"0,00";;2;"1";"1,85";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;3;"";"1,85";;3;"";"1,85";;;"";"0,00";;2;"";"1,85";;3;"";"1,85";;;"";"0,00";;;;;;5;"";"1,85";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;3;"";"1,85";;
MUFINKI.jasne;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
MUFINKI.ciemne;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
MUFINKA.porzeczka;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.CYTRYNOWA;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.MARMUREK;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.CZEK.Z.WIŚNIĄ;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
BABKA.MANDARYNKOWA;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
Karbowane;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;;;;;"";"0,00";;;"";"0,00";;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;;;;;;"";"0,00";;;"";"0,00";;;;;;;"";"0,00";;
