;REDUTOWA  - 48-P;;;;U LESZKA;;;;¯abka Piêkna;;;;Metro;;;;Piekarnia;;;;Bia³obrzeska Warzywniak;;;;Sofia;;;;Zachodni.Arek;;;;OdiDo;;;;Minutka;;;;¯elazna;;;;Szko³a u Tomiego;;;;Elektrolarna;;;;Œródmieœcie;;;;¯abka Aleje;;;;¯abka Zawiszy;;;;Pruszkowska;;;;Rokosowska;;;;Top.market.Piêkna;;;;Hala;;;;Namys³owska;;;;OdiDo II;;;;Babice;;;;Kredytowa;;;;Fresh.Ho¿a;;;;Cepelek.Sofia;;;;Koszyki;;;;¯abka Marsza³kowska;;;;Zachodni.hala;;;;Pa³ac;;;;Delikatesy.Centrum;;;;Raszyn;;;;Chmielna;;;;Namys³owska II;;;;Carrefour Grójecka;;;;Bazar Banacha;;;;¯abka Œliska;;
Produkt;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA;;IL.ZAM; Il.ZWR; ŒR.CENA
KWADRAT Z CZEKOLAD¥;;;0;;4;;1,01;;2;;1,16;;30;;0,65;;;;0;;;;0;;2;;1,16;;;;;;;;0;;3;1;1,16;;7;;1,16;;;;0;;2;;1,16;;;;0;;2;;1,16;;2;;1,16;;2;;1,16;;;;0;;3;;1,16;;;;0;;1;;1,16;;;;0;;;;;;3;;1,16;;;;;;;;;;3;;1,16;;4;;1,16;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
DRO¯. ZE ŒLIWK¥;;;0;;5;;1,01;;2;;1,16;;30;;0,74;;;;0;;;;0;;1;;1,16;;;;;;;;0;;;;0;;2;2;0;;;;0;;;;0;;;;0;;2;;1,16;;;;0;;;;0;;;;0;;4;1;1,16;;;;0;;;;0;;;;0;;;;;;4;;1,16;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
ŒLIMAK Z KOKOSEM;;;0;;6;2;1,01;;2;;1,16;;30;;0,65;;;;0;;;;0;;1;;1,16;;;;;;;;0;;3;1;1,16;;;;0;;;;0;;;;0;;;;0;;2;1;1,16;;1;;1,16;;;;0;;;;0;;3;1;1,16;;;;0;;;;0;;;;0;;;;;;2;;1,16;;;;;;;;;;3;1;1,16;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Pizza;;;0;;12;;1,85;;;;0;;30;;1,11;;;;0;;2;;1,85;;3;;1,85;;;;;;2;;1,85;;;;0;;2;1;1,85;;;;0;;;;0;;;;0;;;;0;;;;0;;3;;1,85;;3;;1,85;;;;0;;2;;1,85;;3;;1,85;;;;0;;;;;;5;;1,85;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;3;;1,85
MUFINKI.jasne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
MUFINKI.ciemne;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
MUFINKA.porzeczka;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.CYTRYNOWA;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.MARMUREK;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.CZEK.Z.WIŒNI¥;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
BABKA.MANDARYNKOWA;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Karbowane;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
Kokosanka;;;0;;4;;3,74;;2;;3,93;;;;0;;;;0;;2;;3,93;;;;0;;;;;;;;0;;3;;3,93;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;4;;3,93;;2;;3,93;;;;0;;2;;3,93;;;;0;;;;;;4;;3,93;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki liliputy (luz);;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
P¹czki liliputy (paczka);;;0;;;;0;;;;0;;7;;2;;;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;0
